Here Comes the Boom,6.4,45290318,63,"When the comedy connects, it can deliver with funny force"
Here Comes the Boom,6.4,45290318,63,"Once it gets going and commits to its time-worn inspirational formula, it's not half-bad."
Here Comes the Boom,6.4,45290318,60,"Knuckleheaded though this faculty-member-turned-MMA-fighter comedy is, there's no denying the plot's lefty credentials, snuck in like Raisinets among the popcorn."
Here Comes the Boom,6.4,45290318,60,"Like James in the ring, it doesn't pack a lot of power, but it comes out swinging and sweats for applause."
Here Comes the Boom,6.4,45290318,50,"So even if Here Comes the Boom doesn't quite work as a comedy (it's not particularly funny), or a drama (it's not particularly poignant), it has an earnest charm that keeps us engaged."
Here Comes the Boom,6.4,45290318,50,Here Comes the Boom is stale and vanilla. We know we're in trouble early when the first joke fails.
Here Comes the Boom,6.4,45290318,50,"If you can choke down the implausible notion that the doughy Kevin James would last more than five seconds in a mixed martial arts ring, Here Comes the Boom is a moderately enjoyable, nontaxing sort of comedy."
Here Comes the Boom,6.4,45290318,50,"A farther-fetched fantasy: In addition to asking we believe our loosely packed academic can play Rocky, Here Comes the Boom imagines a world in which butterball Everyman Scott and the fabulously lush Bella (Salma Hayek) might argue and bill and coo and eventually fall in love."
Here Comes the Boom,6.4,45290318,50,What's missing from this color-by-numbers screenplay is the bizarre touch of eccentric humor Sandler often lets creep into his comedies.
Here Comes the Boom,6.4,45290318,50,"The pure mechanics of Here Comes the Boom land it in an enjoyable, if forgettable, space."
Here Comes the Boom,6.4,45290318,50,"It's all harmless, if not entirely fun."
Here Comes the Boom,6.4,45290318,50,"Kevin James's latest comedy doesn't promise any bing or bang, only boom. Take it at its word."
Here Comes the Boom,6.4,45290318,50,"A cloddish, harmlessly drecky comedy from the Sandler factory of crude mush."
Here Comes the Boom,6.4,45290318,42,Cue 105 painful minutes of a fat guy getting punched in the face and falling down.
Here Comes the Boom,6.4,45290318,40,"Few people will be surprised by how it all unfolds or by how it all ends. This is a movie about lightweight entertainment and heavyweight fighters, not a movie about surprises."
Here Comes the Boom,6.4,45290318,40,"The film works hard at its inoffensiveness. Throughout, jokes are left on the table, setups never pay off in any significant way."
Here Comes the Boom,6.4,45290318,40,"Boom was produced under the auspices of pal Adam Sandler's Happy Madison Productions, which has a tendency toward broad-comic morality tales and multiplex populism that often shades into remedial-level pandering."
Here Comes the Boom,6.4,45290318,40,"All banality, though it delivers some goodwill even as it pulls a muscle trying to get its premise going."
Here Comes the Boom,6.4,45290318,40,The first half hour of Here Comes the Boom is so good moviegoers might be fooled into expecting something better than an obvious wish fulfillment fantasy so patently implausible it's almost insulting.
Here Comes the Boom,6.4,45290318,40,"Hands of stone meet heads of air in Here Comes the Boom, a sports story so daffy it may as well star Kevin James."
